epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3151,0.30758,0.25184,0.96527,0.93906,0.99163,0.9887,0.78615,0.79171,0.35066,1.49494,6.64188e-05,6.64188e-05,6.64188e-05
2,51.1791,0.32254,0.25972,0.96857,0.97279,0.97987,0.98967,0.76448,0.84053,0.3772,1.54799,0.000128694,0.000128694,0.000128694
3,73.6689,0.34083,0.28082,0.97839,0.91127,0.94777,0.96356,0.73403,0.89228,0.41956,1.61676,0.000186569,0.000186569,0.000186569
4,95.489,0.35803,0.30131,0.99226,0.96339,0.935,0.95882,0.74238,0.8569,0.41259,1.55707,0.0001802,0.0001802,0.0001802
5,117.279,0.34823,0.28808,0.98783,0.98314,0.92001,0.97765,0.75377,0.83787,0.39541,1.56011,0.0001736,0.0001736,0.0001736
6,138.709,0.34555,0.2878,0.98553,0.94023,0.97754,0.9838,0.76002,0.85657,0.37557,1.55055,0.000167,0.000167,0.000167
7,160.256,0.34594,0.28244,0.98508,0.92074,0.97024,0.97763,0.74738,0.86709,0.38438,1.58984,0.0001604,0.0001604,0.0001604
8,181.427,0.34131,0.27394,0.98334,0.97383,0.9359,0.97272,0.73947,0.86731,0.4284,1.54715,0.0001538,0.0001538,0.0001538
9,202.643,0.34101,0.27921,0.98091,0.9188,0.97775,0.98398,0.7762,0.80994,0.37222,1.52488,0.0001472,0.0001472,0.0001472
10,224.3,0.33356,0.27185,0.97661,0.9877,0.92749,0.97562,0.76568,0.83266,0.38569,1.53946,0.0001406,0.0001406,0.0001406
11,245.063,0.33135,0.26328,0.97542,0.94801,0.9809,0.98737,0.76986,0.83048,0.37556,1.52589,0.000134,0.000134,0.000134
12,265.985,0.32813,0.26134,0.97462,0.94577,0.97752,0.98464,0.77183,0.7956,0.35059,1.49658,0.0001274,0.0001274,0.0001274
13,286.752,0.32287,0.26646,0.9732,0.91173,0.98628,0.98807,0.77428,0.83972,0.38277,1.54352,0.0001208,0.0001208,0.0001208
14,307.497,0.32254,0.26966,0.97365,0.9606,0.9714,0.98713,0.78016,0.82305,0.37117,1.5228,0.0001142,0.0001142,0.0001142
15,327.969,0.31806,0.25377,0.97142,0.94664,0.98219,0.98733,0.77222,0.83193,0.35736,1.55236,0.0001076,0.0001076,0.0001076
16,349.017,0.31071,0.24154,0.96463,0.92303,0.98053,0.98912,0.77269,0.84079,0.36961,1.52804,0.000101,0.000101,0.000101
17,369.668,0.30589,0.24051,0.96115,0.9438,0.98965,0.99043,0.78274,0.80513,0.34693,1.50088,9.44e-05,9.44e-05,9.44e-05
18,390.536,0.30495,0.23902,0.9637,0.95427,0.95639,0.97233,0.75426,0.84156,0.37165,1.53769,8.78e-05,8.78e-05,8.78e-05
19,411.649,0.29902,0.23288,0.96134,0.93192,0.98412,0.98592,0.78059,0.80086,0.35172,1.50242,8.12e-05,8.12e-05,8.12e-05
20,432.282,0.29548,0.22902,0.95536,0.95785,0.98689,0.98901,0.77856,0.81261,0.33704,1.51257,7.46e-05,7.46e-05,7.46e-05
21,472.284,0.24224,0.20399,0.94906,0.98223,0.94794,0.98773,0.77217,0.82932,0.3544,1.55137,6.8e-05,6.8e-05,6.8e-05
22,492.38,0.22293,0.17755,0.91871,0.96219,0.98499,0.98998,0.76499,0.84869,0.36549,1.56204,6.14e-05,6.14e-05,6.14e-05
23,512.14,0.21737,0.17344,0.91923,0.96897,0.98209,0.9914,0.77799,0.8273,0.35702,1.52557,5.48e-05,5.48e-05,5.48e-05
24,531.834,0.2088,0.16915,0.91292,0.94323,0.99275,0.99173,0.77535,0.81026,0.34868,1.50906,4.82e-05,4.82e-05,4.82e-05
25,551.761,0.20585,0.16435,0.91082,0.9275,0.98654,0.98932,0.77696,0.80064,0.33774,1.5064,4.16e-05,4.16e-05,4.16e-05
26,571.229,0.20236,0.16284,0.91159,0.97552,0.95663,0.99021,0.78602,0.78655,0.32144,1.486,3.5e-05,3.5e-05,3.5e-05
27,591.065,0.19534,0.16418,0.90627,0.93943,0.98965,0.98848,0.78443,0.77778,0.32301,1.47754,2.84e-05,2.84e-05,2.84e-05
28,610.933,0.19316,0.14826,0.90535,0.93475,0.98853,0.98911,0.78747,0.7815,0.32515,1.4856,2.18e-05,2.18e-05,2.18e-05
29,630.651,0.18522,0.14755,0.88968,0.92849,0.99197,0.99032,0.78608,0.78728,0.32292,1.4929,1.52e-05,1.52e-05,1.52e-05
30,650.506,0.19121,0.14387,0.90685,0.93572,0.98965,0.98986,0.78389,0.78996,0.32334,1.49524,8.6e-06,8.6e-06,8.6e-06
